gatename,gate_in_1,gate_in_2,gate_in_3,gate_in_4,gate_in_5,fan_in_1,fan_in_2,fan_in_3,fan_in_4,fan_in_5,in_flipflop_1,in_flipflop_2,in_flipflop_3,in_flipflop_4,in_flipflop_5,out_flipflop_1,out_flipflop_2,out_flipflop_3,out_flipflop_4,out_flipflop_5,in_near_flipflop,out_near_flipflop,in_multiplexer_1,in_multiplexer_2,in_multiplexer_3,in_multiplexer_4,in_multiplexer_5,out_multiplexer_1,out_multiplexer_2,out_multiplexer_3,out_multiplexer_4,out_multiplexer_5,in_near_multiplexer,out_near_multiplexer,in_const_1,in_const_2,in_const_3,in_const_4,in_const_5,out_const_1,out_const_2,out_const_3,out_const_4,out_const_5,inv_1,inv_2,inv_3,inv_4,inv_5,loop_1,loop_2,loop_3,loop_4,loop_5,DPI,DPO,label
DFF_0_Q_reg,2,5,7,8,9,1,3,6,8,10,0,1,1,1,0,1,3,3,4,4,2,1,0,0,0,0,0,0,0,0,1,1,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,1,0,0,0,2,0
DFF_1_Q_reg,6,7,8,13,12,2,5,8,10,12,1,1,1,1,0,1,2,3,4,3,1,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,0
DFF_2_Q_reg,6,11,10,13,16,2,6,10,12,14,1,2,1,1,0,1,2,3,3,4,1,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,0
DFF_3_Q_reg,6,11,14,15,16,2,6,11,14,16,1,2,2,1,0,1,2,3,3,4,1,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,0
DFF_4_Q_reg,6,11,14,19,18,2,6,11,15,18,1,2,2,2,0,1,2,3,3,4,1,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,0
DFF_5_Q_reg,6,11,14,19,22,2,6,11,15,19,1,2,2,2,1,1,2,3,3,4,1,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,0
DFF_6_Q_reg,6,11,14,19,22,2,6,11,15,19,1,2,2,2,1,1,2,3,3,4,1,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,0
DFF_7_Q_reg,6,11,14,20,22,2,6,11,16,20,1,2,2,2,1,1,2,3,3,4,1,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,0
DFF_8_Q_reg,6,11,14,20,23,2,6,12,16,20,1,2,2,2,1,1,2,3,3,4,1,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,0
DFF_9_Q_reg,6,11,14,20,23,2,6,11,16,20,1,2,2,2,1,1,2,3,3,4,1,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,0
DFF_10_Q_reg,6,11,14,19,23,2,6,11,15,20,1,2,2,2,1,1,2,3,3,4,1,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,0
DFF_11_Q_reg,6,11,14,19,22,2,6,11,15,19,1,2,2,2,1,1,2,3,3,4,1,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,0
DFF_12_Q_reg,6,11,14,19,22,2,6,11,15,19,1,2,2,2,1,1,2,3,3,4,1,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,0
DFF_13_Q_reg,6,11,14,19,22,2,6,11,15,19,1,2,2,2,1,1,2,3,3,3,1,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,0
DFF_14_Q_reg,6,11,14,19,22,2,6,11,15,19,1,2,2,2,1,1,2,3,2,3,1,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,0
